Gender,Height,Weight,Index
Male,174,96,2
Male,189,87,1
Female,185,110,2
Female,195,104,2
Male,149,61,2
Male,189,104,2
Male,147,92,2
Male,154,111,2
Male,174,90,2
Female,169,103,1
Male,195,81,2
Female,159,80,2
Female,192,101,1
Male,155,51,1
Male,191,79,2
Female,153,107,2
Female,157,110,2
Male,140,129,2
Male,144,145,2
Male,172,139,2
Male,157,110,2
Female,153,149,2
Female,169,97,2
Male,185,139,1
Female,172,67,2
Female,151,64,2
Male,190,95,0
Male,187,62,2
Female,163,159,2
Male,179,152,2
Male,153,121,0
Male,178,52,0
Female,195,65,2
Female,160,131,2
Female,157,153,2
Female,189,132,2
Female,197,114,2
Male,144,80,2
Female,171,152,1
Female,185,81,2
Female,175,120,2
Female,149,108,1
Male,157,56,2
Male,161,118,2
Female,182,126,1
Male,185,76,2
Female,188,122,2
Male,181,111,2
Male,161,72,2
Male,140,152,2
Female,168,135,0
Female,176,54,2
Male,163,110,2
Male,172,105,2
Male,196,116,2
Female,187,89,2
Male,172,92,2
Male,178,127,2
Female,164,70,2
Male,143,88,0
Female,191,54,2
Female,141,143,0
Male,193,54,1
Male,190,83,2
Male,175,135,2
Female,179,158,2
Female,172,96,1
Female,168,59,2
Female,164,82,2
Female,194,136,1
Female,153,51,2
Male,178,117,2
Male,141,80,1
Male,180,75,2
Female,185,100,2
Female,197,154,2
Male,165,104,2
Female,168,90,2
Female,176,122,0
Male,181,51,2
Male,164,75,2
Female,166,140,2
Female,190,105,2
Male,186,118,2
Male,168,123,0
Male,198,50,2
Female,175,141,2
Male,145,117,2
Female,159,104,2
Female,185,140,2
Female,178,154,2
Female,183,96,2
Female,194,111,1
Male,177,61,2
Male,197,119,2
Female,170,156,2
Male,142,69,2
Male,160,139,0
Male,195,69,0
Female,190,50,2
Male,199,156,2
Male,154,105,2
Male,161,155,2
Female,198,145,2
Female,192,140,2
Male,195,126,2
Male,166,160,2
Male,159,154,2
Female,181,106,2
Male,149,66,2
Female,150,70,2
Female,146,157,2
Male,190,135,1
Female,192,90,2
Female,177,96,2
Male,148,60,1
Female,165,57,2
Female,146,104,2
Male,144,108,2
Female,176,156,2
Female,168,87,2
Male,187,122,2
Male,187,138,2
Female,184,160,2
Female,158,149,2
Male,158,96,2
Male,194,115,2
Female,145,79,2
Male,182,151,1
Male,154,54,2
Female,168,139,1
Female,187,70,2
Female,158,153,2
Female,167,110,2
Female,171,155,2
Female,183,150,2
Female,190,156,2
Male,194,108,2
Male,171,147,2
Male,159,124,1
Female,169,54,2
Female,167,85,2
Male,180,149,2
Male,163,123,2
Male,140,79,2
Male,197,125,2
Male,194,106,2
Female,140,146,2
Male,195,98,2
Female,168,115,0
Female,196,50,2
Male,140,52,2
Female,150,60,2
Female,168,140,2
Female,155,111,2
Female,179,103,2
Female,182,84,2
Male,168,160,2
Female,187,102,2
Male,181,105,1
Male,199,99,1
Female,184,76,2
Male,192,101,2
Female,182,143,2
Female,172,111,1
Male,181,78,2
Male,176,109,2
Female,156,106,2
Female,151,67,1
Female,188,80,2
Male,187,136,2
Male,174,138,2
Male,167,151,2
Female,196,131,2
Male,197,149,2
Female,185,119,2
Female,170,102,2
Female,181,94,2
Female,166,126,2
Male,188,100,2
Female,162,74,2
Male,177,117,2
Male,162,97,1
Male,180,73,2
Female,192,108,2
Male,165,80,2
Female,167,135,2
Female,182,84,2
Female,161,134,2
Male,158,95,2
Male,141,85,2
Male,154,100,2
Male,165,105,2
Female,142,137,2
Male,141,94,2
Male,145,108,2
Male,157,74,2
Female,177,117,2
Female,166,144,2
Male,193,151,0
Male,184,57,2
Male,179,93,2
Female,156,89,2
Male,182,104,2
Male,145,160,2
Female,150,87,2
Male,145,99,2
Female,196,122,2
Male,191,96,2
Female,148,67,2
Female,150,84,2
Male,148,155,2
Female,153,146,2
Female,196,159,0
Female,185,52,2
Female,171,131,2
Female,143,118,2
Female,142,86,2
Female,141,126,2
Male,159,109,1
Female,173,82,2
Male,183,138,2
Female,152,90,2
Male,178,140,0
Male,188,54,2
Female,155,144,2
Male,166,70,2
Male,188,123,2
Female,171,120,2
Male,179,130,2
Female,186,137,1
Female,153,78,2
Female,184,86,2
Female,177,81,2
Male,145,78,2
Male,170,81,2
Male,181,141,2
Male,165,155,1
Female,174,65,2
Female,146,110,2
Male,178,85,1
Male,166,61,0
Male,191,62,2
Female,177,155,0
Female,183,50,2
Male,151,114,2
Male,182,98,2
Female,142,159,2
Female,188,90,2
Male,161,89,2
Male,153,70,2
Male,140,143,2
Male,169,141,2
Female,162,159,2
Male,183,147,1
Female,162,58,2
Female,172,109,2
Female,150,119,2
Female,169,145,2
Female,184,132,2
Male,159,104,2
Male,163,131,2
Male,156,137,1
Female,157,52,2
Male,147,84,2
Male,141,86,2
Male,173,139,2
Male,154,145,2
Male,168,148,0
Male,168,50,2
Male,145,130,2
Male,152,103,2
Female,187,121,0
Female,163,57,2
Male,178,83,2
Female,187,94,2
Female,179,114,1
Male,190,80,2
Male,172,75,0
Male,188,57,0
Male,193,65,2
Female,147,126,2
Female,147,94,2
Male,166,107,2
Female,192,139,2
Male,181,139,2
Male,150,74,2
Male,178,160,1
Female,156,52,2
Male,149,100,2
Male,156,74,2
Male,183,105,2
Female,162,68,2
Female,165,83,2
Female,168,143,2
Male,160,156,1
Female,169,88,2
Female,140,76,2
Female,187,92,2
Male,151,82,2
Female,186,140,2
Male,182,108,1
Male,188,81,2
Male,179,110,2
Female,156,126,2
Male,188,114,2
Male,183,153,2
Male,144,88,0
Male,196,69,2
Male,171,141,2
Male,171,147,2
Female,180,156,2
Male,191,146,1
Female,179,67,1
Female,180,60,2
Female,154,132,2
Male,188,99,2
Male,142,135,2
Male,170,95,2
Male,152,141,2
Female,190,118,2
Female,181,111,2
Male,153,104,2
Male,187,140,2
Female,144,66,1
Female,148,54,1
Female,199,92,2
Female,167,85,2
Female,164,71,2
Female,185,102,2
Female,164,160,2
Male,142,71,1
Male,165,68,1
Female,172,62,1
Female,157,56,1
Male,155,57,2
Female,167,153,2
Female,164,126,2
